Unnamed: 0,Revenue,Revenue Growth,Cost of Revenue,Gross Profit,Operating Income,Interest Expense,Net Income,EPS,Dividend per Share,Gross Margin,EBITDA Margin,EBIT Margin,Profit Margin,Free Cash Flow margin,EBITDA,Net Profit Margin,Cash and cash equivalents,Short-term investments,Total debt,Retained earnings (deficit),Net Debt,Operating Cash Flow,Capital Expenditure,Dividend payments,Free Cash Flow,Net Cash/Marketcap,priceBookValueRatio,priceToBookRatio,priceEarningsRatio,priceToFreeCashFlowsRatio,priceToOperatingCashFlowsRatio,priceCashFlowRatio,priceEarningsToGrowthRatio,dividendYield,enterpriseValueMultiple,priceFairValue,ebitperRevenue,grossProfitMargin,operatingProfitMargin,netProfitMargin,returnOnAssets,returnOnEquity,returnOnCapitalEmployed,nIperEBT,assetTurnover,currentRatio,quickRatio,cashRatio,debtRatio,debtEquityRatio,longtermDebtToCapitalization,totalDebtToCapitalization,interestCoverage,cashFlowToDebtRatio,companyEquityMultiplier,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,payoutRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,Revenue per Share,Net Income per Share,Operating Cash Flow per Share,Free Cash Flow per Share,Shareholders Equity per Share,Interest Debt per Share,Market Cap,Enterprise Value,PE ratio,Price to Sales Ratio,POCF ratio,PFCF ratio,PB ratio,EV to Sales,Enterprise Value over EBITDA,EV to Operating cash flow,EV to Free cash flow,Earnings Yield,Free Cash Flow Yield,Debt to Equity,Debt to Assets,Net Debt to EBITDA,Current ratio,Interest Coverage,Dividend Yield,Capex to Operating Cash Flow,Capex to Revenue,Capex to Depreciation,Stock-based compensation to Revenue,Graham Number,ROIC,Return on Tangible Assets,Working Capital,Tangible Asset Value,Invested Capital,ROE,Gross Profit Growth,EBIT Growth,Operating Income Growth,Net Income Growth,EPS Growth,EPS Diluted Growth,Dividends per Share Growth,Free Cash Flow growth,10Y Revenue Growth (per Share),5Y Revenue Growth (per Share),3Y Revenue Growth (per Share),10Y Operating CF Growth (per Share),5Y Operating CF Growth (per Share),3Y Operating CF Growth (per Share),10Y Net Income Growth (per Share),5Y Net Income Growth (per Share),3Y Net Income Growth (per Share),10Y Shareholders Equity Growth (per Share),5Y Shareholders Equity Growth (per Share),3Y Shareholders Equity Growth (per Share),10Y Dividend per Share Growth (per Share),5Y Dividend per Share Growth (per Share),3Y Dividend per Share Growth (per Share),Asset Growth,Debt Growth,Sector,2015 PRICE VAR [%],Class,2016 PRICE VAR [%],2017 PRICE VAR [%],2018 PRICE VAR [%],2019 PRICE VAR [%]
HL,500781000,0.3089,415580000,85201000,21628000,26775000,17824000,0.05,0.01,0.1701,0.303,0.0786,0.034,-0.0778,151532000,0.0356,209665000,0,521620000,-141306000,311955000,83124000,-122109000,-3547000,-38985000,-0.3044,0.7337,0.7337,55.8,0,12.3308,11.69168312,54.52532919,0.003649705,11.17687002,0.695689016,0.078595234,0.170136247,1,0.035592405,0.0087,0.0128,0.0069,1.41640178,0.22138233,3.477,2.573534099,2.304390834,0.2306,0.3734,0.268256349,0.271876176,1.47,0.159357387,1.619259915,0.2352,-0.11,0.5932,0.2,0.165988726,-0.468998123,1.4169,0.0504,0.2352,-0.11,3.9525,1.4758,1024981448,1336936448,55.8,2.0468,12.3308,0,0.7337,2.6697,8.8228,16.0836,-34.2936,0.0179,-0.038,0.3734,0.2306,2.0587,3.477,1.47,0.0036,1.469,0.2438,-1.0886,0.0099,2.0684,0.0069,0.0087,225374000,2262064000,2483034000,0.0128,0.2881,3.9736,1.6677,1.6725,1.625,1.625,-0.5,0.6847,0.0249,0.0039,-0.0589,0.0761,-0.1499,-0.0186,0,-0.3008,-0.5458,0.1067,0.0054,-0.0087,0,0,-0.2063,0.0134,0.0158,Basic Materials,-33.11727697,0,178.1416505,-27.64213457,-44.12840206,38.14757171
STLD,8755952000,0.1876,7789741000,966211000,320320000,137263000,157024000,0.68,0.46,0.1103,0.072,0.042,0.018,0.059,630765000,0.0179,380675000,0,2981849000,2227843000,2601174000,628224000,-111785000,-105379000,516439000,-0.5481,1.6323,2.6457,29.0294,8.8887,7.5543,6.654210339,26.62226562,0.025208269,11.88461414,1.435054277,0.041964597,0.110349052,1,0.017933401,0.0301,0.0539,0.0325,0.682188055,1.210529452,3.454,1.508966802,0.447546503,0.4122,1.0236,0.50191283,0.505838472,2.6769,0.210682701,2.483049006,2.7015,2.221,1.637,0.676,0.071748223,0.822061876,37.6524,0.6752,2.7015,2.221,12.5266,12.8226,4745808563,7346982563,29.0294,0.542,7.5543,8.8887,1.6323,0.8391,11.6477,11.6948,14.2262,0.0344,0.1088,1.0236,0.4122,4.1238,3.454,2.6769,0.0233,0.1779,0.0128,-0.4245,0.0027,13.6029,0.0325,0.0301,2087680000,6117332000,7867924000,0.0539,0.3436,-0.1175,-0.1713,-0.1706,-0.2093,-0.1928,0.0455,3.1206,0.1322,0.138,0.0094,0.0795,0.04,0.0666,-0.0766,0,-0.1905,0.1129,0.0481,0.0572,0.2199,0.072,0.0477,0.2191,0.4148,Basic Materials,-7.567285136,0,104.723089,21.19050624,-31.75673208,15.20564903
AWI,1294300000,-0.4879,911200000,383100000,133000000,46000000,63800000,1.15,0,0.296,0.238,0.1384,0.049,-0.0109,308500000,0.0493,185300000,0,1042600000,271000000,857300000,208800000,-222900000,-1300000,-14100000,-0.3055,4.3552,19.1397,44.4522,0,13.4382,13.37190134,43.76258621,0.000465607,12.90227877,4.301421969,0.138375956,0.29599011,1,0.049293054,0.0429,0.0983,0.0401,0.479338843,0.496623436,2.091,0.980417418,0.477454264,0.4,1.6062,0.607106107,0.616303127,3.8935,0.200268559,4.015097828,3.7964,-0.256,3.3691,0,0.161322723,-0.067528736,23.5327,1.16,3.7964,-0.256,11.8018,18.9564,2805895059,3663195059,44.4522,2.1679,13.4382,0,4.3552,2.8303,11.8742,17.544,-259.8011,0.0225,-0.005,1.6062,0.4,2.7789,2.091,3.8935,0,1.0675,0.1722,-1.7226,0.0033,17.4276,0.0401,0.0429,423400000,2104800000,2574000000,0.0983,-0.354,-0.2353,-0.355,-0.322,-0.2901,-0.2875,0,0,-0.1157,-0.1362,-0.2043,-0.0075,-0.0369,0.0349,0,-0.0324,-0.1558,0,-0.188,-0.1525,0,0,0,-0.1064,-0.0224,Basic Materials,-9.553010312,0,-7.234799897,43.31363605,-5.101681238,58.38325284
CDE,635742000,-0.1478,640381000,-4639000,-1565982000,47546000,-1186874000,-11.59,0,-0.0073,-2.185,-2.4658,-1.867,-0.0168,-1388900000,-1.8669,270861000,0,468546000,-2233593000,197685000,53548000,-64244000,0,-10696000,-0.374,0.9536,0.9536,0,0,9.8721,9.872123972,,0,,0.953645665,-2.46575183,-0.007296985,1,-1.86691142,-1.0588,-2.1411,-0.9618,,0.442541918,3.366,2.418121875,1.635515542,0.3262,0.8453,0.448636132,0.458068149,-32.9698,0.11428547,2.59155049,0.5176,-0.103,2.6183,0,0.084229137,-0.199746022,6.1454,-11.4729,0.5176,-0.103,5.3584,4.5292,528632494.5,726317494.5,0,0.8315,9.8721,0,0.9536,1.1425,0,13.5639,-67.9055,-2.2681,-0.0202,0.8453,0.3262,-0.1423,3.366,-32.9698,0,1.1997,0.1011,-0.3595,0.0146,0,-0.9618,-1.0588,391830000,1436569000,1468642000,-2.1411,-1.0879,-1.0428,-0.8529,-0.8244,-0.7429,-0.7429,0,-1.8131,0.0198,0.0793,-0.1867,0,-0.0924,-0.5192,0,0,0,-0.0889,-0.2812,-0.3925,0,0,0,-0.5022,0.5181,Basic Materials,-53.20754849,0,268.0161962,-22.9979448,-43.91468121,67.9833684
CE,6802000000,0.0449,5186000000,1616000000,760000000,147000000,624000000,4.03,0.93,0.2376,0.203,0.1595,0.092,0.0418,1383000000,0.0917,780000000,32000000,2723000000,3491000000,1911000000,962000000,-678000000,-144000000,284000000,-0.2075,3.2638,4.7482,14.8784,32.7273,9.5757,8.847854708,13.64044268,0.016918016,8.58831253,3.020452885,0.159511908,0.237577183,1,0.091737724,0.1225,0.2214,0.0728,0.665245203,0.773306048,2.016,1.385650224,0.582959641,0.3096,0.9663,0.478534419,0.49142754,7.381,0.353286816,3.121362669,6.206,1.832,5.0319,0.231,0.141428991,0.295218295,43.8804,4.0255,6.206,1.832,18.1792,17.5663,9211802661,11122802661,14.8784,1.3543,9.5757,32.7273,3.2638,1.6352,8.0425,11.5622,39.1648,0.0672,0.0308,0.9663,0.3096,1.3818,2.016,7.381,0.0155,0.7048,0.0997,-2.2752,0.0068,40.8141,0.0728,0.1225,1360000000,7915000000,8520000000,0.2214,0.1839,-0.3908,-0.498,-0.4332,-0.4185,-0.4211,0.7714,-0.2623,-0.0725,0.0441,0.0045,-0.0264,0.0839,0.1497,0.0301,0.0304,0.1378,-0.1001,0.3484,0.2842,0,0.4219,0.6169,-0.0246,-0.1113,Basic Materials,14.24512992,1,21.58584369,37.17512444,-14.04908525,37.95054989
HUN,11578000000,0.045,9659000000,1919000000,633000000,205000000,323000000,1.33,0.5,0.1657,0.087,0.05,0.028,0.0132,1009000000,0.0279,870000000,0,5127000000,-493000000,4257000000,754000000,-601000000,0,153000000,-0.7653,3.1134,3.5461,17.1278,36.046,7.3777,6.52433813,15.2301887,0,10.55436169,2.766789061,0.050008637,0.165745379,1,0.027897737,0.0453,0.1817,0.0506,0.863636364,1.059965211,2.161,1.105060034,0.373070326,0.4694,2.8836,0.732148237,0.742505431,2.8244,0.14706456,6.143419573,3.1144,0.632,3.5936,0.376,0.06512351,0.202917772,47.8232,1.3342,3.1144,0.632,7.3441,21.1772,5562821351,9819821351,17.1278,0.4805,7.3777,36.046,3.1134,0.8481,9.7322,13.0236,64.1818,0.0584,0.0275,2.8836,0.4694,4.219,2.161,2.8244,0.0219,0.7971,0.0519,-1.3977,0.0023,14.7973,0.0506,0.0453,2707000000,10706000000,12631000000,0.1817,0.0947,0.307,0.2412,1.5234,1.5094,1.4717,0,-0.3544,0.0098,0.0785,0.0042,0.1428,0.1164,0.1965,0,0.2231,0.0867,0,-0.0141,0.0164,0,0.0456,0.0772,0.1888,0.3092,Basic Materials,-48.80970045,0,77.47714472,76.2640815,-42.21930954,25.92100401
CSTM,4438256659,-0.0768,3853510896,584745762.7,181598063,0,61743341.4,0.5811,0,0.1318,0.0448,0.024,0.0169,-0.0071,165859564.2,0.0139,1199757869,69007263.92,1650121065,-250605326.9,,209443099.3,-240920096.9,0,-31476997.58,-1.4503,,,28.274,0,12.5312,9.974534761,33.83518654,0,28.91674827,,0.024004364,0.131751227,1,0.01391162,0.0349,-1.186,0.0918,0.579545455,1.217131474,2.3608,1.581990521,0.939336493,0.4525,-31.6977,1.03577371,1.032575758,0,0.126925899,,1.3605,-0.248,7.7936,0,0.047190398,-0.150289017,28.8307,0.4011,1.3605,-0.248,-0.3382,10.7191,1390500000,,28.274,0.4707,12.5312,0,,,,,,0.0354,-0.2551,-31.6977,0.4525,,2.3608,0,0,1.1503,0.0543,-4.0612,0,,0.0918,0.0349,1002000000,3612590799,2785714286,-1.186,-0.0974,-0.6203,-0.3683,-0.542,-0.5775,-0.5733,0,-1.5721,,,,,,,,,,,,,,,0,0.5028,1.9403,Basic Materials,-54.30267279,0,-27.78457723,82.78688185,-38.95196605,88.20224486
IAG,1007900000,0.0637,892900000,115000000,-42600000,26500000,-198900000,-0.55,0,0.1141,0.175,-0.0541,-0.197,-0.0421,176700000,-0.1973,158500000,96900000,641700000,301200000,,312200000,-354600000,0,-42400000,0.0669,,,0,0,8.993,3.258680333,,0,10.28613469,0.388527783,-0.054072825,0.114098621,1,-0.197341006,-0.057,-0.076,-0.0075,,0.238680496,2.998,0.786889395,0.401164262,0.152,0.2451,0.196828415,0.196828415,-2.0566,0.486520181,1.612679015,0.8286,-0.113,0.4206,0,0.309752952,-0.135810378,2.6749,-0.5279,0.8286,-0.113,6.9493,1.703,2694590000,,0,1.009,8.993,0,,,,,,-0.2037,-0.068,0.2451,0.152,,2.998,-2.0566,0,1.1358,0.3518,-1.5337,0,,-0.0075,-0.057,789600000,4222800000,4310900000,-0.076,-0.5878,0.9375,0.9415,0.7689,0.7511,0.7511,-1,0.8857,0.1232,0.0063,-0.1569,0.2641,0.0261,-0.2557,0,0,0,0.0995,0.0057,-0.0915,-1,-1,-1,0.0077,0.0022,Basic Materials,-49.46619267,0,148.3870983,40.82125874,-39.86927883,1.08400979
WY,5489000000,-0.2433,4035000000,1454000000,987000000,338000000,1826000000,3.2,1.02,0.2649,0.498,0.4072,0.325,0.1301,2735000000,0.3327,1580000000,0,5402000000,1508000000,3822000000,1109000000,-395000000,-563000000,714000000,-0.2031,3.5492,3.5761,11.2156,27.9834,16.9697,14.96627851,9.089596314,0.033920561,8.621427009,3.129261476,0.407177992,0.264893423,1,0.332665331,0.1635,0.3443,0.0573,0.962572483,0.413795703,3.056,2.293028322,1.721132898,0.4072,1.0185,0.504576873,0.504576873,6.6124,0.205294335,2.500942685,1.9921,1.283,2.8381,0.319,0.202040445,0.643823264,9.8598,3.28,1.9921,1.283,9.5275,9.7035,18819407989,22641407989,11.2156,3.4286,16.9697,27.9834,3.5492,4.1249,8.2784,20.4161,31.7107,0.0892,0.0379,1.0185,0.4072,1.3974,3.056,6.6124,0.0284,0.3562,0.072,-0.79,0.0073,26.9827,0.0573,0.1635,1887000000,13225000000,16129000000,0.3443,-0.0757,1.9369,0.5568,2.3,2.3684,2.3474,0.2593,-0.039,-0.1977,-0.1628,-0.0518,-0.1442,0,0.5438,-0.0477,0,0.7464,-0.1305,-0.1302,0.0631,-0.044,0.112,0.1935,-0.09,-0.0004,Basic Materials,-13.64955044,0,5.104914902,20.5195634,-35.53611542,47.80396246
SID,6055663537,-0.1742,4353128802,1702534735,933853924.1,1221549005,-39511077.73,-0.0297,0.0466,0.2811,0.0995,0.1858,-0.0026,-0.0635,1606496057,-0.0065,3261742771,0,10435108900,1066304168,,309316184.8,-694140443.1,0,-384824258.4,-2.5266,,,0,0,5.3105,3.279290646,,0,8.539561665,0.333620437,0.18582233,0.281147512,1,-0.006524649,-0.0024,-0.013,0.04,,0.32403399,1.0837,1.890464174,1.572994577,0.5584,3.4322,0.756438889,0.774376196,0.9212,0.029641874,6.146689277,1.5046,1.105,15.8658,-1.5697,0.051078826,-1.244112909,29.456,-0.1922,1.5046,1.105,14.7891,50.7586,2673290000,,0,0.1881,5.3105,0,,,,,,-0.0143,0.0792,3.4322,0.5584,,1.0837,0.9212,0.0224,2.2441,0.1146,-1.4425,0,,0.04,-0.0024,10413537000,18334001878,23433779947,-0.013,-0.1779,-0.1867,-0.2555,-1.1833,-1.2009,-1.2009,-0.7921,-1.5638,,,0.1171,,,-0.4368,,,0,,,0.1313,,,-0.5248,-0.1246,0,Basic Materials,-46.04172227,0,251.0869755,-30.79095986,-10.89467901,51.92565587
SLCA,876741000,0.6058,566584000,310157000,176167000,18202000,121540000,2.26,0.51,0.3538,0.253,0.2018,0.139,0.0899,221944000,0.1386,263066000,75143000,495086000,232551000,156877000,171411000,-92589000,-26871000,78822000,-0.1133,3.4251,4.4151,11.3673,17.5083,8.0804,7.666187153,10.81182167,0.020448701,9.321683876,3.254127638,0.201798479,0.353761259,1,0.138627029,0.1236,0.301,0.1466,0.765736535,0.714699359,3.968,3.263897282,1.870265966,0.4036,1.226,0.549097617,0.550767492,9.7201,0.346224696,3.037836539,3.1909,1.467,4.8971,0.226,0.195509278,0.459842134,16.3209,2.2625,3.1909,1.467,7.5172,9.2162,1385072137,1541949137,11.3673,1.5798,8.0804,17.5083,3.4251,1.7587,6.9475,8.9956,19.5624,0.088,0.0569,1.226,0.4036,0.7068,3.968,9.7201,0.0199,0.5402,0.1056,-2.0567,0.0042,19.5288,0.1466,0.1236,417453000,1136182000,1227545000,0.301,0.5711,0.5888,0.5837,0.615,0.5915,0.5887,0.3077,6.7694,,,0.4298,,,0.5833,,,0.582,,,0.4833,,0,0,0.4207,0.3163,Basic Materials,-28.11018425,0,189.9542251,-42.33618644,-70.0203142,-43.79607278
CF,4743000000,-0.1337,2965000000,1778000000,1573000000,178000000,1390000000,5.43,1,0.3749,0.576,0.4936,0.293,-0.0795,2734000000,0.2931,2082700000,0,4592500000,3175300000,2509800000,1421000000,-1798000000,-256000000,-377000000,-0.1852,3.193,6.3497,10.0383,0,9.5389,8.476232787,8.665271072,0.021254114,6.847083683,2.86118412,0.493569471,0.374868227,1,0.293063462,0.1964,0.3302,0.1256,0.642625982,0.421442661,2.583,2.321322854,2.125854854,0.4081,1.0909,0.521744564,0.521744564,13.1517,0.309417529,2.673397154,5.553,-1.473,8.1387,0.184,0.29959941,-0.265306122,18.5346,5.4318,5.553,-1.473,16.4506,17.9465,13554837404,16064637404,10.0383,2.8579,9.5389,0,3.193,3.387,5.8759,11.3052,-42.6118,0.0996,-0.0278,1.0909,0.4081,0.918,2.583,13.1517,0.0183,1.2653,0.3791,-4.5751,0.0036,45.6689,0.1256,0.1964,1550800000,9161400000,10691500000,0.3302,-0.2945,0.0164,-0.3363,-0.0509,0.0926,0.0949,1.2727,-1.575,,0.115,0.0179,,0.1458,-0.025,,0.2922,0.0699,,0.182,0.0788,0,0.6572,0.71,0.054,0.4824,Basic Materials,-21.87530528,0,-17.7126036,38.52158708,3.669850965,16.69795302
LYB,45608000000,0.0351,38939000000,6669000000,5736000000,352000000,4174000000,8.03,2.7,0.1462,0.155,0.133,0.092,0.0997,7085000000,0.0915,1033000000,1593000000,7045000000,6775000000,4419000000,6048000000,-1499000000,-1403000000,4549000000,-0.1112,4.7809,5.6954,9.8867,8.7378,6.5721,5.764726334,8.352914439,0.040240854,6.011724046,4.193536789,0.133002982,0.146224347,1,0.091519032,0.2789,0.502,0.2176,0.730486524,1.882994096,2.142,1.117160199,0.189994482,0.2909,0.8474,0.446065694,0.458688717,17.233,0.858481192,2.913278807,12.0799,9.0859,2.0632,0.336,0.132608314,0.752149471,91.0943,8.3369,12.0799,9.0859,16.6058,14.0712,39748029424,44167029424,9.8867,0.8715,6.5721,8.7378,4.7809,0.9684,6.2339,7.3027,9.7092,0.1011,0.1144,0.8474,0.2909,0.6237,2.142,17.233,0.034,0.2479,0.0329,-1.4711,0,54.7749,0.2176,0.2789,6208000000,22886000000,23461000000,0.502,0.0893,0.1441,0.1243,0.0822,0.1809,0.1837,0.35,0.3894,,,0.0297,,,0.3461,,,0.3089,,,-0.0327,,0,0.6995,-0.1127,0.2074,Basic Materials,12.18788342,1,2.573960161,32.03011869,-23.02702195,18.3677205
VMC,2994169000,0.0807,2406587000,587582000,538138000,243367000,204923000,1.56,0.22,0.1962,0.274,0.1803,0.068,0.0208,819479000,0.0684,141273000,0,1984779000,1471845000,1843506000,261007000,-198824000,-28884000,62183000,-0.213,2.0785,26.8248,42.1346,138.9597,33.1671,31.98078296,40.73338873,0.003460319,12.59717847,1.99851802,0.18034453,0.196242096,1,0.068440693,0.0579,0.0491,0.0443,0.690872006,0.372358274,2.037,1.0981017,0.312635269,0.2468,0.4752,0.305196794,0.322127094,2.2188,0.131504314,1.925227794,1.9854,0.473,1.0746,0.141,0.087171766,0.238242652,22.7761,1.5588,1.9854,0.473,31.7714,15.0979,8656843185,10500349185,42.1346,2.8912,33.1671,138.9597,2.0785,3.5069,12.8134,40.2301,168.8621,0.0237,0.0072,0.4752,0.2468,2.2496,2.037,2.2188,0.0033,0.7618,0.0664,-0.7114,0.0068,33.3162,0.0443,0.0579,468591000,4188030000,5579658000,0.0491,0.3765,1.6664,1.8263,7.4047,7.2105,7.1053,4.5,-0.3699,-0.005,0.0013,0.0474,-0.0996,-0.1222,0.1497,-0.0571,0.4363,0,0.0492,-0.0132,0.0273,-0.1439,-0.317,-0.3385,-0.0264,-0.2131,Basic Materials,42.40730053,1,36.37780857,3.84747613,-24.34519786,48.9588383
CC,6432000000,-0.0623,5072000000,1360000000,511000000,0,400000000,2.21,0,0.2114,0.125,0.0854,0.062,-0.0154,806000000,0.0622,0,0,0,0,0,505000000,-604000000,0,-99000000,-1.2765,7.2206,15.0024,0.1092,0,5.7794,,,,0,,0.085354478,0.211442786,1,0.062189055,0.1039,0.109,0.0701,0.72859745,1.079375734,1.388,0.605150215,0,0,0,0,0,0,,1.624148269,,,,0,0.078513682,-0.196039604,,,,,,,2895469328,6591469328,0.1092,0.4784,5.7794,0,7.2206,1.0891,11.172,13.1566,-41.4558,9.1587,-0.0549,0,0,0,1.388,0,0,1.196,0.0939,-2.3502,0,7.6411,0.0701,0.1039,543000000,5750000000,4352000000,0.109,-0.071,-0.0452,-0.0358,-0.0544,-0.0556,-0.0556,0,-1.275,,,,,,,,,,,,,,,,,,Basic Materials,-74.29,1,307.9859607,136.5614818,-44.3145752,-35.06646527
LPX,1934800000,-0.0721,1757800000,177000000,-77600000,29800000,-75400000,-0.53,0,0.0915,0.014,-0.0381,-0.039,-0.0687,26900000,-0.039,543100000,0,757200000,812300000,214100000,-52900000,-80100000,0,-133000000,-0.0909,2.103,2.1215,0,0,-44.5184,,,0,132.5502885,2.032355942,-0.038143477,0.091482324,1,-0.038970436,-0.0445,-0.0676,-0.0297,,0.823739782,5.503,3.772437753,3.144759699,0.3224,0.6786,0.403506896,0.404271223,-2.4765,-0.069862652,2.105036745,-0.3749,-0.943,3.849,0,-0.027341327,,13.7123,-0.5344,-0.3749,-0.943,7.9079,5.3664,2355022804,2569122804,0,1.2172,-44.5184,0,2.103,1.3278,95.5064,-48.5656,-19.3167,-0.032,-0.0565,0.6786,0.3224,7.9591,5.503,-2.4765,0,0,0.0414,-0.7954,0.0049,0,-0.0297,-0.0445,777600000,2339100000,2380500000,-0.0676,-0.6052,-1.2904,-1.3826,-1.4257,-1.4173,-1.4309,0,-1.7969,-0.0591,0.07,0.1119,0,0,0,0,0,0,-0.0699,-0.073,0.0172,-1,0,0,-0.058,-0.0102,Basic Materials,8.887546278,1,5.872487788,34.32223092,-15.16692156,42.89440532
NEM,6819000000,-0.1896,3919000000,2900000000,993000000,330000000,508000000,1.02,0.225,0.4253,0.312,0.1528,0.074,0.0584,2130000000,0.0745,2403000000,73000000,6646000000,1242000000,4170000000,1438000000,-1040000000,-114000000,398000000,-0.4423,0.9176,0.9176,18.5294,23.6865,6.5558,6.145106798,17.39500704,0.012900797,8.319090881,0.860099628,0.15280833,0.425282299,1,0.074497727,0.0301,0.0494,0.0353,0.713483146,0.273679563,2.475,1.343039126,1.093266606,0.2667,0.6469,0.386773308,0.392789598,3.1576,0.216370749,2.425150866,2.8829,0.798,4.8176,0.221,0.210881361,0.276773296,13.6709,1.0185,2.8829,0.798,20.5976,13.3241,9427237615,13597237615,18.5294,1.3825,6.5558,23.6865,0.9176,1.994,6.3837,9.4557,34.1639,0.054,0.0422,0.6469,0.2667,1.9577,2.475,3.1576,0.0119,0.7232,0.1525,-0.9559,0.0075,21.7422,0.0353,0.0301,3241000000,24916000000,26961000000,0.0494,-0.069,1.349,1.2719,1.2005,1.2004,1.2004,-0.8163,2.1148,0.0342,-0.0314,-0.1363,-0.0196,-0.1402,-0.2677,0.0018,-0.1771,0.1075,0.0245,-0.0156,-0.0796,-0.0284,-0.1087,-0.3918,0.0126,-0.0139,Basic Materials,-6.517043309,0,85.45790751,9.111632289,-7.337083389,31.16002592
MEOH,3223399000,0.0659,2568559000,654840000,696840000,37042000,454610000,4.79,0.95,0.2032,0.245,0.2007,0.141,0.0444,789727000,0.141,951600000,0,1781156000,1262961000,,801017000,-658012000,-89913000,143005000,-0.2924,,,9.5678,30.4442,3.784,4.877501171,8.594094621,0.023013537,8.087311635,2.187091585,0.200716387,0.203152014,1,0.141034355,0.1248,0.2545,0.1457,0.745327053,0.675009319,2.056,1.653956308,1.160728444,0.373,0.9971,0.461056001,0.499268822,17.4664,0.449717487,2.673204308,8.4321,1.505,10.0173,0.198,0.248500729,0.178529295,33.9319,4.7856,8.4321,1.505,18.8047,18.7498,5592000000,,9.5678,1.3664,3.784,30.4442,,,,,,0.1045,0.1819,0.9971,0.373,,2.056,17.4664,0.0207,0.8215,0.2041,-4.6099,-0.0049,,0.1457,0.1248,866072000,4775340000,4785066000,0.2545,0.2236,0.4198,0.4623,0.3811,0.3844,0.3343,0.2102,19.5437,0.0914,0.2113,0.0657,0.1188,0.4775,0.1781,0.0942,2.5923,0.3028,0.0918,0.0741,0.0759,0.1299,0.0891,0.1262,0.1588,0.4204,Basic Materials,-25.59958448,0,37.51982694,39.39288087,-21.58962097,-19.82132959
RIO,47664000000,-0.0685,33910000000,13754000000,11909000000,649000000,6527000000,3.531,3.156,0.2886,0.317,0.2146,0.137,0.2471,15089000000,0.1369,12423000000,271000000,25219000000,26110000000,,19194000000,-7418000000,-3710000000,11776000000,,,,13.0445,5.5751,,2.570066409,7.55781441,0.075208006,5.586046435,1.065784912,0.214606412,0.288561598,1,0.136937731,0.0845,0.141,0.0963,0.68131524,0.442041418,1.703,1.44198036,1.016612111,0.2339,0.5449,0.327448416,0.352693556,15.7612,0.761092827,2.32963163,13.4659,8.262,8.7156,0.894,0.402693857,0.61352506,33.4396,4.5791,13.4659,8.262,32.4721,17.6929,,,13.0445,1.3774,,5.5751,,,,,,0.0767,,0.5449,0.2339,,1.703,15.7612,0.0685,0.3865,0.1556,-1.5263,0,,0.0963,0.0845,8593000000,1.00719E+11,1.01295E+11,0.141,-0.0871,0.5503,0.6028,0.7809,0.7797,0.78,0.1715,0.6516,,-0.0357,-0.0547,,-0.0046,-0.0932,,-0.0115,0.0626,,-0.0575,-0.0165,0.1218,-0.1314,0.392,-0.0288,-0.1167,Basic Materials,-32.89605931,0,42.72531065,42.99044962,-6.153133143,40.8023804
EMN,9527000000,0.0189,7306000000,2221000000,1162000000,187000000,751000000,5.03,1.45,0.2331,0.17,0.1231,0.079,0.0882,1623000000,0.0788,214000000,0,7549000000,4545000000,7335000000,1433000000,-593000000,-210000000,840000000,-0.651,3.2101,0,15.0815,13.4134,7.8627,7.064566184,13.48005771,0.020743766,10.83519614,2.884194684,0.123123754,0.233126902,1,0.078828592,0.1204,0.214,0.0517,0.761663286,0.592770035,1.569,0.699307616,0.105835806,0.4697,2.1507,0.673731177,0.682611448,6.2727,0.189826467,4.578917379,9.6481,5.656,1.4408,0.288,0.150414611,0.586182833,64.143,5.0563,9.6481,5.656,23.632,50.8256,11267288261,18602288261,15.0815,1.1827,7.8627,13.4134,3.2101,1.9526,11.4617,12.9814,22.1456,0.0663,0.0746,2.1507,0.4697,4.5194,1.569,6.2727,0.0191,0.4138,0.0622,-1.3178,0,51.7161,0.0517,0.1204,1151000000,8681000000,13994000000,0.214,-0.1999,-0.3666,-0.3759,-0.3554,-0.3355,-0.332,0.16,0.0319,0.0427,0.1624,0.0713,0.1177,0.131,0.2854,0.1658,0.4014,0.025,0.1202,0.1783,0.2025,0.0512,0.105,0.1356,0.3569,0.7746,Basic Materials,-9.673859093,0,15.93357304,25.09932067,-20.49753408,12.03745364
